URL,ID,Category,Sub Category,Daily,Weekly,Monthly,Item Cost,Deliver to Jobsite,Retrieval From Jobsite,Environmental Fee,Tax,Estimated Cost
,,,,,,,,,,,,
,,,,,,,,,,,,
https://www.unitedrentals.com/marketplace/equipment/aerial-work-platforms/boom-lifts/articulating-boom-lift-125-ft-4wd-diesel-powered,310-9801,Aerial Work Platforms,Boom Lifts,"$1,279 ","$3,995 ","$11,314 ",Calculate Cost,,,,,
,,,,,,,,,,,,
https://www.unitedrentals.com/marketplace/equipment/aerial-work-platforms/boom-lifts/articulating-boom-lift-135-ft-4wd,310-9835,Aerial Work Platforms,Boom Lifts,"$1,636 ","$5,195 ","$12,254 ","$1,636.00 ",$265.00 ,$265.00 ,$32.72 ,$150.82 ,"$2,349.54 "
,,,,,,,,,,,,
https://www.unitedrentals.com/marketplace/equipment/aerial-work-platforms/boom-lifts/articulating-boom-lift-30-ft-electric-powered,310-3050,Aerial Work Platforms,Boom Lifts,$490 ,"$1,397 ","$3,044 ",$490.00 ,$177.50 ,$177.50 ,$9.80 ,$52.78 ,$907.58 
,,,,,,,,,,,,
https://www.unitedrentals.com/marketplace/equipment/aerial-work-platforms/boom-lifts/articulating-boom-lift-34-ft-electric-powered,310-3450,Aerial Work Platforms,Boom Lifts,$490 ,"$1,397 ","$3,044 ",$490.00 ,$177.50 ,$177.50 ,$9.80 ,$52.78 ,$907.58 
,,,,,,,,,,,,
https://www.unitedrentals.com/marketplace/equipment/aerial-work-platforms/boom-lifts/articulating-boom-lift-34-ft-electric-gas-or-diesel-power-available,310-3001,Aerial Work Platforms,Boom Lifts,$504 ,"$1,294 ","$2,724 ",$504.00 ,$177.50 ,$177.50 ,$10.08 ,$53.89 ,$922.97 
,,,,,,,,,,,,
https://www.unitedrentals.com/marketplace/equipment/aerial-work-platforms/boom-lifts/articulating-boom-lift-40-ft-electric-powered,310-4050,Aerial Work Platforms,Boom Lifts,$527 ,"$1,451 ","$3,049 ",$527.00 ,$177.50 ,$177.50 ,$10.54 ,$55.73 ,$948.27 
,,,,,,,,,,,,
https://www.unitedrentals.com/marketplace/equipment/aerial-work-platforms/boom-lifts/articulating-boom-lift-45-ft-4wd-gas-or-diesel-power-available,310-4001,Aerial Work Platforms,Boom Lifts,$579 ,"$1,455 ","$2,960 ",$579.00 ,$177.50 ,$177.50 ,$11.58 ,$59.87 ,"$1,005.45 "
,,,,,,,,,,,,
https://www.unitedrentals.com/marketplace/equipment/aerial-work-platforms/boom-lifts/articulating-boom-lift-45-ft-electric-powered,310-4051,Aerial Work Platforms,Boom Lifts,$527 ,"$1,451 ","$3,049 ",$527.00 ,$177.50 ,$177.50 ,$10.54 ,$55.73 ,$948.27 
,,,,,,,,,,,,
https://www.unitedrentals.com/marketplace/equipment/aerial-work-platforms/boom-lifts/articulating-boom-lift-60-ft-2wd-electric-powered,310-6005,Aerial Work Platforms,Boom Lifts,$547 ,"$1,521 ","$3,284 ",$547.00 ,$177.50 ,$177.50 ,$10.94 ,$57.32 ,$970.26 
,,,,,,,,,,,,
